Letter,Abbreviation,Definition
A,A," Ampere
 Anchor"
A,A/N/K,"alphabetic, numeric,  katakana"
A,A2A,application-to-application
A,AA,automated attendant
A,AAA,"authentication, authorization, and accounting"
A,AAB,All-to-all broadcast
A,AAC," Advanced Audio Coding
 ATM access concentrator"
A,AAL,ATM adaptation layer
A,AARP,AppleTalk Address Resolution Protocol 
A,AAS,Auto Area Segmentation
A,AAT,Average Access Time
A,AAUI,Apple Attachment Unit Interface
A,ABAP,Advanced Business Application Programming
A,ABC," activity-based costing
 Atanasoff-Berry Computer"
A,ABEND," abnormal end
 Absent By Enforced Net Deprivation"
A,ABI,application binary interface
A,ABLE,Agent Building and Learning Environment
A,ABM,activity-based management
A,ABME,asynchronous balanced mode extended
A,ABR,available bit rate
A,ACA,Australian Communications Authority
A,ACAP,Application Configuration Access Protocol
A,ACC, Adaptive Cruise ControlAuthorization Contract for Containers
A,ACCU, Association of C and C++ Users
A,ACD," Automatic Call Delivery
 automatic  call distributor or distribution"
A,ACDI,Asynchronous Communications Device Interface
A,ACE," access control entry 
 Adobe Certified Expert 
 Advanced CMOS-ECL
 Agile Communication Environment"
A,ACEE,access control environment element
A,ACF,Advanced Communications Function
A,ACF2,Access Control Facility 2
A,ACG,adaptive code generation
A,ACH,automated clearinghouse
A,ACI,access control information 
A,ACID,"atomicity, consistency, isolation, durability"
A,ACK,acknowledgement 
A,ACL," Access control list
 application connectivity link
 Asianet Communications Limited
 Asynchronous Connectionless                                                         Link"
A,ACM,Association for Computing MachineryAddress Complete Message
A,ACMS,Application Control and Management System
A,ACP,array control processor
A,ACPI,Advanced Configuration and Power Interface
A,ACR," Allowed Cell Rate
 attenuation-to-crosstalk ratio"
A,ACRI,additional coding-related required information
A,ACROSS,Automated Cargo Release and Operations Service System
A,ACS,"Affiliated Computer Services, Inc"
A,ACSE,Association Control Service Element
A,ACSLS,Automated Cartridge System Library Software
A,ACT,access control template
A,ACU,abstract code unit 
A,AD," Active Directory
 Administrative Domain"
A,ADAPT,"Architecture, Design, Analysis and Planning Tool"
A,ADB,Apple Desktop Bus
A,ADC," Advanced Direct Connect
 Analog to Digital Converter
 automated data collection"
A,ADCCP,Advanced Data Communications Control Procedures
A,ADDM," Application Discovery and Dependency 
          Mapping
 Automatic Database Diagnostic Monitor "
A,ADE," Application Data Export
 application development environment"
A,ADF," Activity Decision Flow
 Application Development Facility
 automatic document feeder"
A,ADI," Analog Devices, Inc.
 Application Desktop Integrator"
A,ADK,Additional Decryption Key
A,ADL,Advanced Distributed Learning
A,ADM," Agile development management
 Application 
          Development Manager "
A,ADMD,Administration Management Domain or Administrative Management Domain
A,ADMF,Asynchronous Data Mover Facility
A,ADN,"Advanced Digital Network
application delivery networking "
A,ADO,ActiveX Data Objects
A,ADP,Accidental Damage Protection
A,ADPCM,adaptive differential pulse code modulation
A,ADS," Active Directory Service
 Asynchrous Data Switching"
A,ADSI," Active Directory Services Interface
 Analog Display Services Interface"
A,ADSL,Asynchrous Data Switching Line
A,ADSM,ADSTAR Distributed Storage Manager
A,ADSR,"Attack, Decay, Sustain, Release"
A,ADSTAR,Automated Document Storage and Retrieval
A,ADT," Abstract Data Type
 admission, discharge and transfer
 application deployment template"
A,ADTG,Advanced Data Table Gram
A,ADUC,Active Directory Users and Computers
A,AEC,"Architecture, Engineering, Construction"
A,AES,Advanced Encryption Standard
A,AF," Assured Forwarding
 audio frequency"
A,AFC,antiferromagnetically coupled
A,AFI,Authority and Format Identifier
A,AFIS,Automated Fingerprint Identification System
A,AFK,Away From Keyboard
A,AFL,Academic Free License
A,AFM,Atomic Force Microscope 
A,AFP," Advanced Function Printing
 Apple Filing Protocol"
A,AGC,Automatic Gain Control
A,AGP,Accelerated Graphics Port
A,AHCI,Advanced Host Controller Interface
A,AHP,analytical hierarchy process
A,AI," Action Indicator Adobe Illustrator
 artificial intelligence "
A,AIA,Application Integration Architecture 
A,AID,attention identifier
A,AIM,AOL Instant Messenger
A,AIN,Advanced Intelligent Network
A,AIO,all in one 
A,AIOD,Automatic Identified Outward Dialing
A,AIP,"Advanced Inspection and 
          Prevention "
A,AIR,Additive Increase Rate
A,AIT,Advanced Intelligent Tape
A,AIX,Advanced Interactive Executive
A,AJP,Apache JServ Protocol
A,AL PA,Arbitrated Loop Physical Address
A,ALET,access list entry token
A,ALG,Application Layer Gateway
A,ALGOL,ALGOrithmic Language
A,ALI,Application layer  interface
A,ALM," Application Life Cycle Management 
 Asset 
              Lifecycle Management
 Asynchronous Line Multiplexer"
A,ALP,Application Layer Program / Protocol
A,ALSA,Advanced Linux Sound Architecture
A,ALT,alternative
A,ALU," Alcatel-Lucent 
 arithmetic logic unit"
A,AM,Amplitude Modulation
A,AMA,automatic message accounting
A,AMD," Active Matrix Display
 Advanced Microchip Devices
 architected model-driven"
A,AME,Advanced Metal Evaporated
A,AMI,"  advanced metering 
          infrastructure
 Alternate Mark Inversion
 Application Messaging Interface "
A,AML," Anti-Money-Laundering 
 Astronomical Markup Language"
A,AMMA,Advanced Memory Management Architecture
A,AMP," ampere (A)
 amplifier
 Asymmetric Multi-Processing"
A,AMPS,Advanced Mobile Phone System
A,AMR," Audio Modem Riser
 Automatic meter reading"
A,AMRF,Action Message Retention Facility
A,AMS,"access method services
Analog/Mixed-Signal
 Application Management Services"
A,AMT," Active Management Technology
 address mapping table "
A,AMTA,American Mobile Telecommunications Association
A,ANDF,Architecture-Neutral                                                         Distribution Format
A,ANI,Automatic Number Identification
A,ANOVA,analysis of variance
A,ANR,automatic network routing
A,ANSI,American National  Standards  Institute
A,ANX,Automotive Network Exchange
A,AOA,angle of arrival
A,AOCE, Apple Open Collaboration Environment
A,AOF,"  Advanced Open File
 application object file"
A,AOL," America Online
 Application Object Library"
A,AOR,Address of Record
A,AP,access point
A,APA,all-points addressable 
A,APACS,Association for Payment Clearing Services
A,APC," asynchronous procedure call
 American Power Conversion
 Antenna Phase Center"
A,APDU,application-layer protocol data unit 
A,APF,Automated Purposing Framework
A,API,"Application Programming InterfaceAdvanced Photonix, Inc"
A,APM," Active policy management
 Advanced Power Management
 application 
            performance management "
A,APML,Attention Profiling Markup Language
A,APNIC,Asia Pacific Network Information Center
A,APO,Advanced Planner and Optimizer
A,APOP,Authenticated Post Office Protocol
A,APOT,Alternate (Additional) Point of Termination
A,APPC,Advanced Program-to-Program Communication
A,APPN,Advanced Peer to Peer Networking
A,APR,Apache Portable Runtime
A,APS," advanced planning and scheduling
 Automatic Protection Switching"
A,APWG,Anti-Phishing Working Group 
A,APaRT,automated packet recognition/translation
A,APaaS,"application platform as a 
          service"
A,AQCB,Automated Quote Contract Billing
A,AR," Access Rate
 Augmented reality"
A,ARA,Apple Remote Access
A,ARAD,architected rapid application development 
A,ARAG,AntiReflection AntiGlare
A,ARC,Ames Research CenterArchive
A,ARCNET,Attached Resource Computer NETwork
A,ARD,Automatic Ring Down
A,ARIA,Accessible Rich Internet Applications 
A,ARIN,American Registry for Internet Numbers 
A,ARL,ABLE Rule Language 
A,ARM,"Advanced RISC MachinesAsynchronous Response ModeActive Registry Monitor
"
A,ARP,Address Resolution Protocol
A,ARPANET,Advance Research Projects Agency Network
A,ARQ,automatic repeat request
A,ARS," Action Request System
 automatic route selection"
A,ART,Additional Reference Transmission
A,ARTS,Association for Retail Technology Standards
A,ARu,audio response unit 
A,AS,Activesync
A,AS/400,Application System/400
A,AS2,Applicability Statement 2
A,ASA,average speed of answer
A,ASBR,Autonomous System Boundary Router
A,ASC,Abstract Syntax Checker 
A,ASCII,American Standard Code for Information Interchange
A,ASCL,Asianet Satellite Communications Limited 
A,ASE," Adaptive Server Enterprise
 application service element"
A,ASF," Advanced Streaming Format
 Automatic Sheet Feeder"
A,ASIC,Application-Specific Integrated Circuit
A,ASIF,access security information field
A,ASIS,access security information subfield
A,ASK,Anomalous State of Knowledge
A,ASLR,Address Space Layout Randomization
A,ASLS,Analog Single Line Station
A,ASM," Auto-sequencing memory
 Automatic Storage Management"
A,ASML,originally  ASM Lithography (ASM for Advanced Semiconductor Materials)
A,ASN,Abstract Syntax Notation
A,ASN.1,Abstract Syntax Notation One
A,ASO,Address Supporting Organization
A,ASP,"  Abstract Service Primitive
  Active Server Pages 
  Application Server Process
  Application Service Provider
  Aspect Oriented Programming
 Average Selling Price "
A,ASPI,Advanced SCSI Programming Interface
A,ASPX,Active Server Pages eXtended
A,ASQ,Automated Software                                                         Quality
A,ASR,"  Automatic Send and Receive
  automatic speech recognition
 Automated system recovery "
A,ASV,Approved Scanning Vendor
A,AT,Advanced Technology
A,AT&T,American Telephone And Telegraph
A,ATA,"  Actual Time of Arrival
 Advanced Technology Attachment
 Analog Telephone Adaptor"
A,ATAG,Authoring Tool Accessibility Guidelines
A,ATAPI,AT Attachment Packet Interface
A,ATB,all trunks busy
A,ATCA,Advanced Telecom Computing Architecture
A,ATG," advanced technology group
 Art Technology Group"
A,ATI, Allied Telesyn International
A,ATL," Active Template Library
 automated tape library"
A,ATLAS,Authorization Token Layer Acquisition Service
A,ATM," Adobe Type Manager
 asynchronous  transfer mode
 automated teller machine"
A,ATO,assemble to order
A,ATP," AppleTalk Transaction Protocol
 available to promise"
A,ATPCO,Airline Tariff Publishing Company
A,ATRAC,Adaptive TRansform Acoustic Coding
A,ATRN,Authenticated Turn
A,ATS,Abstract Test SuiteApplications Technology SatelliteAir to Surface
A,ATSC,Advanced Television Systems Committee
A,ATTIS,AT&T Information Systems
A,ATU-C,X
A,ATU-R,X
A,ATUL,ADSL Termination Unit Remote
A,ATVEF,Advanced TV Enhancement Forum
A,ATX,Advanced Technology eXtended 
A,AUDIT,AUtomated Data Input Terminal
A,AUI,Attachment Unit Interface
A,AUIML,Abstract User Interface Markup Language 
A,AUP,acceptable use policy
A,AUTOEXEC,Automatic Execution
A,AUTONEG,Autonegotiation
A,AUV,Autonomous Underwater Vehicle 
A,AUX,auxiliary device
A,AV," Anti Virus
 Audio Video or Visual"
A,AVD,alternate voice data 
A,AVED,AntiVirus Emergency Discussion list
A,AVI,Audio/Video Interleaved
A,AVK,Application Verification Kit
A,AVS,Application Visualisation                                                         System
A,AVST,Applied Voice & Speech Technologies Inc.
A,AVVID,"Architecture for Voice, Video and Integrated Data"
A,AWD,Access Workflow Designer
A,AWE, Advanced WavEffects
A,AWS,"   Advanced Wireless Services
 Amazon Web Services
  Autonomous Web Services
"
A,AWT,Abstract Window Toolkit
A,Ajax,Asynchronous JavaScript and XML
A,Amanda,(formerly) Advanced Maryland Automatic Network Disk Archiver
A,Anon FTP,Anonymous FTP
A,AoE,Ata Over Ethernet
A,Atom,"  Any Transport over MPLS
 Atom"
A,a11y,accessibility
A,admin,ADMINISTRATOR
A,aii,afg ihkj idx
A,ami,"Analyze, Metricate, Improve"
A,app,application 
B,B,byte
B,B channel,Bearer Channel
B,B-HAVW, Behavioral Heuristic Analyzer in Virtual Environments
B,B-LLI,Broadband Low Layer Information
B,B2B,business-to-business
